"Part";"Value";"Device";"Package";"Description";"BUERKLIN";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BC817-1";"";"BC817-40-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"12S6220";"";"";"";"";
"BC817-40";"";"BC817-40-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"12S6220";"";"";"";"";
"FUSE";"";"R-US_0613/5V";"P0613V";"RESISTOR, American symbol";"";"";"";"";"";
"HKLP1";"HKLPM01";"HKLPM01";"HKLPM01";"";"";"";"";"";"";
"IC1";"DS18B20";"DS18B20";"TO92-";"Programmable Resolution Digital Thermometer";"";"";"";"";"";
"INDOOR";"";"PINHD-2X4";"2X04";"PIN HEADER";"";"";"";"";"";
"JP3";"CONNECTORS_M3";"CONNECTORS_M3";"CONNECTORS_1X3";"13-pin single row .1" header";"";"";"";"";"";
"K1";"OMRON-G3MB-202P-SSR2";"OMRON-G3MB-202P-SSR2";"OMRON-G3MB-202P-SSR";"IT(rms) 8A, Zero Cross type SIP 4pin Triac output SSR";"";"";"S202S02F";"1618475";"14N9588";
"K2";"OMRON-G3MB-202P-SSR2";"OMRON-G3MB-202P-SSR2";"OMRON-G3MB-202P-SSR";"IT(rms) 8A, Zero Cross type SIP 4pin Triac output SSR";"";"";"S202S02F";"1618475";"14N9588";
"M14";"FTDI";"M06SIP";"1X06";"Header 6";"59 F 2134";"";"";"";"";
"R1";"301k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 7197";"";"";"";"";
"R2";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";"";"";"";"";
"R4";"4k7";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 808";"";"";"";"";
"R8";"S07K275";"S07K275";"S07K275";"VARISTOR";"82 E 2252";"";"";"";"";
"R9";"S07K275";"S07K275";"S07K275";"VARISTOR";"82 E 2252";"";"";"";"";
"R10";"S07K275";"S07K275";"S07K275";"VARISTOR";"82 E 2252";"";"";"";"";
"R103";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";"";"";"";"";
"RPM";"CONNECTORS_M4""";"CONNECTORS_M4""";"CONNECTORS_1X4";"13-pin single row .1" header";"";"";"";"";"";
"RPM1";"CONNECTORS_M4""";"CONNECTORS_M4""";"CONNECTORS_1X4";"13-pin single row .1" header";"";"";"";"";"";
"RPM2";"CONNECTORS_M4""";"CONNECTORS_M4""";"CONNECTORS_1X4";"13-pin single row .1" header";"";"";"";"";"";
"TEMP-FUSE";"72Â°C 250V";"R-US_0207/2V";"0207/2V";"RESISTOR, American symbol";"30G4800";"";"";"";"";
"U$2";"HDR_2PIN";"HDR_2PIN";"1X02_NS";"";"";"";"";"";"";
"U$3";"HDR_3PIN";"HDR_3PIN";"1X03_LUMBERG-KRMC_3,5MM";"";"08 H 602";"";"";"";"";
"U$6";"HDR_2PIN1X02_3.5MM";"HDR_2PIN1X02_3.5MM";"1X02_LUMBERG-KRMC_3,5MM";"";"";"";"";"";"";
